No,Question,A,B,C,D,Correct
1,Apa yang dilakukan oleh Kepala Eksekutif Pengawas Pasar Modal saat terjadi krisis di pasar modal?,Memerintahkan pelarangan short selling,Melakukan permintaan (call for meeting) Rapat Dewan Komisioner,Melakukan penutupan perdagangan bursa efek,Memberikan izin buyback dalam kondisi lain,B
2,Berapa insentif diskon atas biaya pendaftaran yang diberikan OJK bagi emiten dan penerbit yang menerbitkan EBUS BK,10%,25%,50%,75%,D
3,Siapakah yang diwajibkan memiliki izin WPPE,Pegawai yang melakukan kegiatan Manajemen Risiko,"Pegawai dengan posisi jabatan di bawah direktur, yang membawahkan unit yang bertanggung jawab atas kegiatan penjamin emisi efek",Direktur yang bertanggung jawab atas kegiatan penjamin emisi efek,Pegawai yang bertanggung jawab atas kegiatan penjamian emisi efek,A
4,Berikut ini adalah pihak yang tidak dapat melakukan kegiatan usaha sebagai Manajer Investasi,Perseroan Terbatas,Asuransi,Perusahaan Publik,Perusahaan Terbuka,B
5,"Berdasarkan ketentuan dalam POJK 11 tahun 2017 tentang laporan kepemilikan atau setiap perubahan kepemilikan saham Perusahaan Terbuka, yang diwajibkan melaporkan kepemilikan saham dan perubahan kepemilikan sahamnya adalah",Setiap Emiten atau Perusahaan Publik yang memiliki paling sedikit 5% atas saham,,,,
6,Perusahaan Terbuka,,Setiap pihak yang memiliki paling sedikit 5% atas saham Perusahaan Terbuka,Setiap pihak yang memiliki paling sedikit 10% atas saham Perusahaan Terbuka,Setiap pihak yang memiliki paling sedikit 15% atas saham Perusahaan Terbuka,B
7,"Selain terkait pengembangan sistem informasi di bidang PMDK, Deputi Direktur Pengembangan Sistem Informasi juga memiliki tugas pokok lainnya, yakni terkait","Melakukan pelayanan, diseminasi informasi pengawasan PMDK","Melaksanakan Sosialisasi, Edukasi, Publikasi, dan/atau Diseminasi Informasi dan Kebijakan PMDK",Melakukan pengembangan protokol manajemen krisis dan menyusun rekomendasi kebijakan penanganan krisis di sektor PMDK,"Melaksanakan diseminasi informasi hasil surveillance, strees test dan protokol manajemen krisis di sektor PMDK",B
8,Diantara pernyataan berikut ini yang merupakan pernyataan yang benar tentang Reksa Dana Saham,paling sedikit 80% dari Nilai Aktiva Bersih dalam bentuk efek bersifat ekuitas,paling sedikit 75% dari Nilai Aktiva Bersih dalam bentuk efek bersifat ekuitas,paling sedikit 51% dari Nilai Aktiva Bersih dalam bentuk efek bersifat ekuitas,paling sedikit 65% dari Nilai Aktiva Bersih dalam bentuk efek bersifat ekuitas,A
9,"Ahli syariah pasar modal dapat menjadi anggota dewan pengawas syariah pada entitas yang diawasi oleh OJK, paling banyak","5 pihak, hanya jika tidak menjadi tim ahli syariah","5 lembaga di bidang pasar modal, 5 pihak di sektor selain pasar modal",5 tahun berturut-turut,5 pihak di seluruh sektor yang diawasi OJK,D
10,Peraturan terkait dengan perizinan Penyelenggara Layanan Urun Dana adalah,POJK Nomor 57/POJK.04/2018,POJK Nomor 57/POJK.04/2020,POJK Nomor 37/POJK.04/2020,POJK Nomor 37/POJK.04/2018,B
11,"Berikut merupakan tipologi pelanggaran yang dilakukan oleh Manajer Investasi, kecuali",Kontrak Pengelolaan Dana terlambat dilaporkan,Transaksi silang (cross trading) dilakukan antar Reksa Dana di Pasar Negosiasi yang menguntungkan salah satu pihak,Janji imbal hasil pasti (fixed rate),Valuasi Efek Bersifat Utang pada rentang harga LPHE,D
12,"Wakil Agen Penjual Reksa Dana wajib memenuhi persyartan sebagai berikut, kecuali",Memiliki sertifikat keahlian sebagai WAPERD yang diselenggarakan oleh Lembaga Sertifikasi Profesi.,Tidak Cakap melakukan perbuatan hukum,Tidak pernah melakukan perbuatan tercela dan/atau dihukum karena terbukti melakukan tindak pidana di bidang jasa keuangan,Memiliki akhlak dan moral yang baik,B
13,Definisi Emiten adalah...,Perusahaan yang telah dimiliki sekurang-kurangnya oleh 300 pemegang saham,Pihak yang melakukan Penawaran Umum,Pihak yang melakukan Penawaran Khusus,Pihak yang melakukan aksi korporasi,B
14,"Data transaksi efek berikut dapat dilihat pada aplikasi Sipetro (Nasdaq), kecuali",waran,pasar reguler saham,pasar negosiasi saham,obligasi dan sukuk korporasi,D
15,Tugas dan fungsi dari notaris dalam proses Penawaran Umum adalah ...,Menyusun laporan penilaian aset dari perusahaan,Memberikan rating atas obligasi atau sukuk yang diterbitkan oleh perusahaan,Membuat akta-akta perjanjian dalam rangka Penawaran Umum,Memberikan nasihat dan penerapan prinsip Syariah,C
16,Perizinan yang sudah tidak membayar pungutan adalah,Layanan Urun Dana,Wakil Perusahaan Efek,Perusahaan Pemerinkat Efek,Biro Administrasi Efek,B
17,Hal berikut bukan merupakan termasuk tindak pidana pelanggaran pasar modal adalah,Semua merupakan tindak pidana pelanggaran pasar modal,Orang yang tidak kooperatif dan menghancurkan catatan bukti transaksi yang sedang diperiksa OJK,Akuntan melaksanakan dan menandatangani opini audit laporan keuangan eminten yang dipublikasikan di BEI,Orang yang melakukan pengelolaan portofolio investasi untuk nasabah tanpa izin,C
18,"Terkait dengan ketentuan pidana, manakah pernyataan berikut ini yang bukan termasuk dalam tindak pidana di bidang Pasar Modal",Melakukan penipuan dalam perdagangan Efek,Melakukan transaksi afiliasi dan benturan kepentingan,Melakukan perdagangan orang dalam,Melakukan kegiatan Wakil Perantara Pedagang Efek tanpa memperoleh izin perorangan dari OJK,B
19,Pelanggaran yang termasuk tindak pidana pasar modal,Tidak ada yang benar,Laporan audit oleh akuntan tidak benar karena defisiensi audit sehingga laporan keuangan emiten mengandung salah saji material,"Karyawan PT ABCD Tbk melakukan penjualan saham PT XYZ Tbk, ketika kedua perseroan ini setuju membentuk konsorsium bersama pemasaran produk baru","Direktur utama emiten A bertansaksi saham A dengan direktur utama emiten B, yang mana kedua direktur utama emiten ini menandatangani perjanjian pengambilalihan anak usaha emiten B, dan informasi pengambilalihan sudah dipublikasikan",A
